training_record_id,employee_id,doc_id,curriculum_id,training_type,delivery_method,assigned_date,due_date,completion_date,assessment_score,assessment_passed,attempt_number,trainer_id,status,waiver_reason
534,20,DOC-0011,,Remedial,Classroom,2022-05-31,2022-06-09,2022-06-04,99.6,True,1,28,Completed,
535,20,DOC-0091,,Refresher,Read-and-Understand,2024-12-16,2025-01-05,2024-12-28,81.8,True,1,14,Completed,
536,20,DOC-0014,,Initial,eLearning,2022-11-25,2022-12-13,2022-12-05,91.9,True,1,102,Completed,
537,20,DOC-0002,,Remedial,Read-and-Understand,2022-03-29,2022-04-16,2022-04-06,71.0,False,2,74,Completed,
538,20,DOC-0022,,Remedial,Read-and-Understand,2023-06-02,2023-06-29,2023-07-02,76.7,False,2,103,Completed,
539,20,DOC-0015,,Initial,Classroom,2022-03-22,2022-04-13,2022-04-08,85.7,True,1,30,Completed,
540,20,DOC-0092,,Initial,eLearning,2024-05-24,2024-06-11,2024-06-03,86.3,True,1,18,Completed,
541,20,DOC-0001,,Initial,Classroom,2022-05-12,2022-06-07,2022-05-13,86.5,True,1,107,Completed,
542,20,DOC-0087,,Refresher,Read-and-Understand,2022-05-23,2022-06-12,2022-05-29,84.7,True,1,27,Completed,
543,20,DOC-0081,,Refresher,eLearning,2024-03-21,2024-04-07,2024-04-10,91.9,True,1,88,Completed,
544,20,DOC-0091,,Initial,eLearning,2022-02-09,2022-02-16,2022-02-11,71.0,False,2,69,Completed,
545,20,DOC-0099,,Initial,eLearning,2023-06-09,2023-07-08,2023-07-07,96.3,True,1,27,Completed,
546,21,DOC-0002,,Change-Driven,Classroom,2024-07-14,2024-07-25,2024-07-25,71.1,False,2,1,Completed,
547,21,DOC-0091,,Refresher,eLearning,2023-01-25,2023-02-22,2023-02-04,96.3,True,1,59,Completed,
548,21,DOC-0043,,Initial,OJT,2023-02-24,2023-03-21,2023-03-10,93.0,True,1,4,Completed,
549,21,DOC-0078,,Change-Driven,Read-and-Understand,2022-08-18,2022-09-07,2022-08-26,73.7,False,2,79,Completed,
550,21,DOC-0050,,Change-Driven,eLearning,2024-08-23,2024-09-22,2024-08-24,77.5,False,2,36,Completed,
551,21,DOC-0033,,Refresher,eLearning,2022-05-12,2022-05-19,2022-05-19,81.7,True,1,88,Completed,
552,21,DOC-0070,,Initial,Read-and-Understand,2023-08-12,2023-08-28,2023-08-23,86.6,True,1,13,Completed,
553,21,DOC-0063,,Initial,eLearning,2024-04-13,2024-04-29,2024-04-27,94.9,True,1,17,Completed,
554,21,DOC-0038,,Refresher,OJT,2022-07-16,2022-07-26,2022-07-22,94.5,True,1,53,Completed,
555,21,DOC-0079,,Refresher,eLearning,2024-05-01,2024-05-11,2024-05-14,75.9,False,2,43,Completed,
556,21,DOC-0048,,Change-Driven,Classroom,2022-11-24,2022-12-23,2022-12-05,74.0,False,2,7,Completed,
557,21,DOC-0042,,Refresher,eLearning,2024-10-27,2024-11-20,2024-11-11,89.4,True,1,118,Completed,
558,21,DOC-0035,,Refresher,OJT,2022-04-28,2022-05-27,2022-05-18,84.9,True,1,96,Completed,
559,21,DOC-0087,,Initial,eLearning,2023-02-11,2023-03-09,2023-03-08,73.2,False,2,21,Completed,
560,21,DOC-0042,,Refresher,Classroom,2023-10-17,2023-11-09,2023-11-13,75.4,False,2,69,Completed,
561,21,DOC-0023,,Refresher,OJT,2024-04-03,2024-04-11,2024-04-11,78.3,False,2,3,Completed,
562,21,DOC-0033,,Change-Driven,Classroom,2024-01-05,2024-01-29,2024-01-22,70.2,False,2,108,Completed,
563,21,DOC-0070,,Change-Driven,eLearning,2024-06-03,2024-06-12,2024-06-17,95.3,True,1,78,Completed,
564,21,DOC-0029,,Refresher,Read-and-Understand,2024-01-24,2024-02-22,2024-02-12,89.8,True,1,6,Completed,
565,21,DOC-0042,,Refresher,OJT,2023-12-24,2024-01-18,2024-01-04,83.3,True,1,12,Completed,
566,21,DOC-0014,,Change-Driven,eLearning,2023-01-21,2023-02-11,,,,1,91,Overdue,
567,21,DOC-0040,,Initial,Read-and-Understand,2023-11-10,2023-12-01,2023-11-15,83.3,True,1,88,Completed,
568,21,DOC-0014,,Change-Driven,OJT,2022-06-29,2022-07-18,2022-07-18,99.4,True,1,74,Completed,
569,21,DOC-0060,,Initial,eLearning,2022-03-21,2022-03-31,2022-04-01,97.9,True,1,27,Completed,
570,21,DOC-0026,,Remedial,eLearning,2024-02-16,2024-03-16,2024-03-12,71.8,False,2,59,Completed,
571,21,DOC-0056,,Remedial,Classroom,2022-05-25,2022-06-05,2022-06-02,70.2,False,2,50,Completed,
572,21,DOC-0014,,Change-Driven,Classroom,2022-08-28,2022-09-27,2022-09-28,87.3,True,1,60,Completed,
573,21,DOC-0014,,Change-Driven,eLearning,2023-11-04,2023-12-03,2023-11-08,97.4,True,1,67,Completed,
574,22,DOC-0096,,Change-Driven,OJT,2024-11-29,2024-12-27,2024-12-09,85.4,True,1,72,Completed,
575,22,DOC-0079,,Change-Driven,Read-and-Understand,2024-11-14,2024-12-03,2024-11-18,86.4,True,1,74,Completed,
576,22,DOC-0060,,Refresher,Classroom,2024-03-21,2024-04-19,2024-03-22,89.4,True,1,37,Completed,
577,22,DOC-0079,,Refresher,eLearning,2023-09-01,2023-09-16,2023-09-10,96.1,True,1,6,Completed,
578,22,DOC-0058,,Initial,Classroom,2024-04-05,2024-04-30,2024-04-11,92.3,True,1,119,Completed,
579,22,DOC-0044,,Remedial,eLearning,2023-08-07,2023-09-03,2023-09-05,94.9,True,1,51,Completed,
580,22,DOC-0004,,Refresher,eLearning,2023-06-15,2023-06-29,2023-07-02,76.3,False,2,81,Completed,
581,22,DOC-0082,,Remedial,eLearning,2022-04-21,2022-05-12,2022-05-14,93.5,True,1,110,Completed,
582,22,DOC-0041,,Refresher,OJT,2024-07-11,2024-08-03,2024-08-02,84.9,True,1,71,Completed,
583,22,DOC-0010,,Refresher,eLearning,2024-02-14,2024-03-07,2024-03-12,76.5,False,2,108,Completed,
584,22,DOC-0089,,Refresher,eLearning,2023-03-08,2023-03-16,,,,1,88,Overdue,
585,22,DOC-0060,,Initial,Read-and-Understand,2024-08-11,2024-08-30,2024-09-02,89.1,True,1,83,Completed,
586,22,DOC-0081,,Initial,eLearning,2022-01-06,2022-01-28,2022-01-13,81.6,True,1,92,Completed,
587,22,DOC-0092,,Refresher,Classroom,2024-10-23,2024-11-09,2024-10-31,97.1,True,1,44,Completed,
588,22,DOC-0017,,Change-Driven,OJT,2023-11-14,2023-12-12,2023-11-26,76.7,False,2,120,Completed,
589,22,DOC-0088,,Refresher,Read-and-Understand,2024-03-15,2024-04-01,2024-03-30,77.1,False,2,104,Completed,
590,22,DOC-0016,,Initial,eLearning,2023-08-07,2023-09-02,2023-08-16,87.8,True,1,17,Completed,
591,22,DOC-0032,,Refresher,Read-and-Understand,2023-07-03,2023-07-25,2023-07-13,82.7,True,1,75,Completed,
592,22,DOC-0032,,Initial,OJT,2024-01-02,2024-01-19,2024-01-17,99.6,True,1,5,Completed,
593,22,DOC-0006,,Remedial,eLearning,2024-04-21,2024-05-01,2024-04-23,75.8,False,2,120,Completed,
594,22,DOC-0047,,Initial,Classroom,2023-07-16,2023-08-07,2023-07-20,93.0,True,1,119,Completed,
595,22,DOC-0085,,Refresher,Classroom,2022-07-10,2022-08-06,2022-07-11,95.3,True,1,52,Completed,
596,22,DOC-0014,,Refresher,eLearning,2022-11-12,2022-11-24,2022-11-20,89.7,True,1,38,Completed,
597,22,DOC-0037,,Remedial,eLearning,2024-05-08,2024-06-01,2024-05-16,90.1,True,1,42,Completed,
598,22,DOC-0044,,Refresher,eLearning,2023-11-13,2023-11-21,2023-11-20,76.4,False,2,64,Completed,
599,22,DOC-0063,,Change-Driven,eLearning,2023-10-01,2023-10-14,2023-10-06,84.6,True,1,93,Completed,
600,22,DOC-0077,,Refresher,Read-and-Understand,2022-05-07,2022-05-22,2022-05-21,71.1,False,2,106,Completed,
601,22,DOC-0032,,Change-Driven,OJT,2024-03-30,2024-04-24,2024-04-21,99.5,True,1,55,Completed,
602,22,DOC-0073,,Refresher,eLearning,2022-02-05,2022-02-17,2022-02-11,74.5,False,2,44,Completed,
603,22,DOC-0087,,Refresher,OJT,2022-02-17,2022-03-08,2022-03-09,71.1,False,2,4,Completed,
604,23,DOC-0044,,Initial,eLearning,2022-08-09,2022-08-21,2022-08-16,87.5,True,1,5,Completed,
605,23,DOC-0059,,Refresher,Read-and-Understand,2024-06-12,2024-07-08,2024-06-18,97.4,True,1,71,Completed,
606,23,DOC-0084,,Refresher,Read-and-Understand,2023-02-01,2023-03-01,2023-02-16,87.6,True,1,95,Completed,
607,23,DOC-0077,,Initial,eLearning,2022-11-19,2022-12-14,2022-12-15,89.5,True,1,44,Completed,
608,23,DOC-0029,,Initial,eLearning,2022-02-20,2022-03-14,2022-02-26,97.6,True,1,72,Completed,
609,23,DOC-0017,,Initial,Classroom,2022-10-25,2022-11-17,2022-11-09,83.3,True,1,7,Completed,
610,23,DOC-0041,,Refresher,Classroom,2023-08-09,2023-09-04,2023-08-25,92.1,True,1,22,Completed,
611,23,DOC-0071,,Refresher,Read-and-Understand,2022-10-25,2022-11-02,2022-10-28,74.8,False,2,96,Completed,
612,23,DOC-0096,,Initial,OJT,2022-02-22,2022-03-03,,,,1,71,Overdue,
613,23,DOC-0007,,Refresher,eLearning,2023-08-20,2023-09-04,2023-09-03,81.0,True,1,113,Completed,
614,23,DOC-0035,,Refresher,eLearning,2024-10-02,2024-10-22,2024-10-21,82.5,True,1,55,Completed,
615,23,DOC-0034,,Remedial,eLearning,2024-06-20,2024-07-01,2024-06-29,97.5,True,1,60,Completed,
616,23,DOC-0028,,Refresher,Classroom,2024-07-16,2024-08-09,2024-07-25,84.1,True,1,2,Completed,
617,23,DOC-0057,,Refresher,Classroom,2022-01-08,2022-02-06,2022-01-26,82.5,True,1,112,Completed,
618,23,DOC-0007,,Refresher,OJT,2024-06-07,2024-06-16,2024-06-17,85.4,True,1,20,Completed,
619,23,DOC-0070,,Initial,Read-and-Understand,2023-09-20,2023-10-01,2023-09-22,93.9,True,1,19,Completed,
620,23,DOC-0052,,Refresher,eLearning,2022-05-26,2022-06-24,2022-06-20,77.7,False,2,26,Completed,
621,24,DOC-0010,,Refresher,Classroom,2024-11-22,2024-12-12,2024-12-05,91.9,True,1,102,Completed,
622,24,DOC-0026,,Remedial,OJT,2022-06-02,2022-07-01,2022-06-28,81.3,True,1,74,Completed,
623,24,DOC-0048,,Change-Driven,Read-and-Understand,2022-05-12,2022-05-23,2022-05-19,96.9,True,1,34,Completed,
624,24,DOC-0018,,Refresher,eLearning,2024-01-10,2024-01-24,,,,1,108,Overdue,
625,24,DOC-0052,,Refresher,eLearning,2022-02-06,2022-02-15,2022-02-08,99.3,True,1,3,Completed,
626,24,DOC-0067,,Refresher,Read-and-Understand,2024-06-20,2024-06-27,2024-06-22,84.1,True,1,88,Completed,
627,24,DOC-0052,,Refresher,Read-and-Understand,2024-09-22,2024-10-02,2024-09-23,84.4,True,1,8,Completed,
628,24,DOC-0061,,Refresher,eLearning,2023-08-08,2023-08-16,2023-08-12,82.7,True,1,57,Completed,
629,24,DOC-0077,,Refresher,Read-and-Understand,2024-02-16,2024-03-08,2024-03-08,97.4,True,1,42,Completed,
630,24,DOC-0009,,Initial,Classroom,2022-07-07,2022-07-15,2022-07-17,97.8,True,1,105,Completed,
631,24,DOC-0014,,Initial,eLearning,2024-10-13,2024-11-06,2024-10-14,91.8,True,1,45,Completed,
632,24,DOC-0086,,Refresher,Read-and-Understand,2023-08-15,2023-09-09,2023-09-06,92.9,True,1,80,Completed,
633,24,DOC-0023,,Remedial,Classroom,2022-03-09,2022-03-18,2022-03-20,75.2,False,2,116,Completed,
634,24,DOC-0080,,Change-Driven,Classroom,2024-08-27,2024-09-11,2024-09-07,89.2,True,1,77,Completed,
635,24,DOC-0096,,Refresher,Read-and-Understand,2024-07-13,2024-08-12,2024-07-24,80.4,True,1,79,Completed,
636,24,DOC-0098,,Refresher,eLearning,2023-06-13,2023-07-11,2023-06-17,78.4,False,2,100,Completed,
637,24,DOC-0093,,Change-Driven,eLearning,2023-03-09,2023-03-30,2023-04-04,93.6,True,1,115,Completed,
638,24,DOC-0025,,Change-Driven,Read-and-Understand,2023-05-04,2023-05-25,2023-05-24,93.0,True,1,102,Completed,
639,24,DOC-0097,,Initial,Read-and-Understand,2024-03-20,2024-04-19,2024-04-18,81.4,True,1,49,Completed,
640,24,DOC-0099,,Change-Driven,Classroom,2022-01-10,2022-02-02,2022-01-26,93.0,True,1,77,Completed,
641,24,DOC-0085,,Refresher,eLearning,2022-04-06,2022-04-24,2022-04-26,91.7,True,1,35,Completed,
642,24,DOC-0076,,Refresher,eLearning,2022-03-13,2022-04-05,2022-04-09,93.9,True,1,95,Completed,
643,24,DOC-0006,,Refresher,Classroom,2023-12-30,2024-01-20,2024-01-10,70.8,False,2,27,Completed,
644,24,DOC-0024,,Refresher,Classroom,2023-06-14,2023-07-02,2023-06-25,74.4,False,2,13,Completed,
645,24,DOC-0015,,Refresher,eLearning,2022-07-05,2022-08-03,2022-08-08,81.2,True,1,69,Completed,
646,24,DOC-0033,,Refresher,Read-and-Understand,2024-04-20,2024-05-18,2024-05-23,88.3,True,1,77,Completed,
647,24,DOC-0029,,Initial,Read-and-Understand,2022-12-06,2022-12-15,2022-12-20,87.3,True,1,7,Completed,
648,24,DOC-0085,,Change-Driven,eLearning,2024-07-18,2024-08-17,2024-08-05,90.8,True,1,98,Completed,
649,24,DOC-0006,,Refresher,OJT,2022-11-16,2022-11-27,2022-11-30,77.9,False,2,64,Completed,
650,24,DOC-0085,,Change-Driven,Read-and-Understand,2022-10-02,2022-10-09,2022-10-08,78.9,False,2,67,Completed,
651,25,DOC-0071,,Change-Driven,Classroom,2022-07-28,2022-08-26,2022-08-02,95.6,True,1,88,Completed,
652,25,DOC-0033,,Refresher,OJT,2023-07-28,2023-08-18,2023-07-29,78.8,False,2,14,Completed,
653,25,DOC-0062,,Refresher,Classroom,2023-06-01,2023-06-29,2023-06-13,72.4,False,2,64,Completed,
654,25,DOC-0044,,Change-Driven,Classroom,2022-04-08,2022-04-23,2022-04-13,88.6,True,1,111,Completed,
655,25,DOC-0055,,Refresher,Classroom,2024-10-28,2024-11-20,2024-11-12,87.7,True,1,61,Completed,
656,25,DOC-0043,,Change-Driven,OJT,2023-08-24,2023-09-08,2023-09-02,96.5,True,1,31,Completed,
657,25,DOC-0036,,Change-Driven,Classroom,2022-01-09,2022-01-19,2022-01-24,99.9,True,1,89,Completed,
658,25,DOC-0028,,Refresher,eLearning,2024-05-01,2024-05-08,2024-05-11,83.0,True,1,9,Completed,
659,25,DOC-0090,,Initial,eLearning,2023-03-04,2023-03-19,2023-03-12,85.5,True,1,36,Completed,
660,25,DOC-0068,,Change-Driven,eLearning,2023-08-10,2023-08-26,2023-08-18,82.7,True,1,16,Completed,
661,25,DOC-0009,,Initial,OJT,2024-01-08,2024-01-28,2024-01-21,74.1,False,2,112,Completed,
662,25,DOC-0008,,Refresher,Read-and-Understand,2024-08-11,2024-08-18,2024-08-17,88.4,True,1,30,Completed,
663,25,DOC-0014,,Remedial,eLearning,2024-02-15,2024-02-23,2024-02-18,83.5,True,1,7,Completed,
664,25,DOC-0028,,Refresher,Classroom,2024-06-20,2024-07-18,2024-07-22,72.0,False,2,37,Completed,
665,25,DOC-0039,,Initial,Classroom,2024-07-24,2024-08-11,2024-07-27,94.0,True,1,27,Completed,
666,25,DOC-0070,,Refresher,Read-and-Understand,2022-01-30,2022-02-21,2022-02-05,86.7,True,1,7,Completed,
667,25,DOC-0051,,Change-Driven,eLearning,2024-05-02,2024-05-11,2024-05-07,80.4,True,1,52,Completed,
668,25,DOC-0049,,Initial,OJT,2023-04-20,2023-05-08,2023-05-13,95.0,True,1,22,Completed,
669,25,DOC-0081,,Remedial,Classroom,2024-12-05,2024-12-17,2024-12-08,98.1,True,1,70,Completed,
670,25,DOC-0049,,Remedial,eLearning,2024-06-05,2024-06-30,2024-07-05,79.5,False,2,76,Completed,
671,25,DOC-0092,,Remedial,Read-and-Understand,2024-12-13,2024-12-29,2024-12-30,96.7,True,1,37,Completed,
672,25,DOC-0058,,Initial,Read-and-Understand,2022-03-15,2022-04-01,2022-03-23,72.4,False,2,105,Completed,
673,25,DOC-0079,,Initial,eLearning,2024-07-31,2024-08-09,2024-08-13,95.9,True,1,3,Completed,
674,25,DOC-0027,,Refresher,Read-and-Understand,2024-06-04,2024-06-23,2024-06-14,73.8,False,2,62,Completed,
675,25,DOC-0070,,Initial,Classroom,2024-03-08,2024-03-19,2024-03-19,75.6,False,2,49,Completed,
676,25,DOC-0004,,Initial,eLearning,2023-05-14,2023-05-25,2023-05-30,83.5,True,1,11,Completed,
677,25,DOC-0096,,Initial,Classroom,2022-01-15,2022-02-04,2022-02-02,76.8,False,2,45,Completed,
678,25,DOC-0097,,Remedial,eLearning,2024-01-25,2024-02-16,2024-02-08,75.2,False,2,103,Completed,
679,25,DOC-0058,,Refresher,eLearning,2024-10-20,2024-11-16,2024-10-23,71.7,False,2,46,Completed,
680,25,DOC-0091,,Initial,Classroom,2024-08-20,2024-09-02,2024-08-25,93.3,True,1,106,Completed,
681,26,DOC-0022,,Initial,eLearning,2023-12-07,2023-12-28,2023-12-08,79.4,False,2,98,Completed,
682,26,DOC-0094,,Refresher,Read-and-Understand,2022-11-09,2022-11-26,2022-11-19,97.2,True,1,90,Completed,
683,26,DOC-0088,,Refresher,eLearning,2023-04-02,2023-04-27,2023-05-01,97.5,True,1,14,Completed,
684,26,DOC-0014,,Refresher,OJT,2024-05-01,2024-05-23,,,,1,47,Overdue,
685,26,DOC-0075,,Refresher,eLearning,2024-05-12,2024-06-08,2024-05-31,82.0,True,1,51,Completed,
686,26,DOC-0044,,Refresher,OJT,2024-02-18,2024-03-15,2024-03-20,99.0,True,1,34,Completed,
687,26,DOC-0096,,Initial,Read-and-Understand,2024-06-02,2024-06-24,2024-06-09,75.6,False,2,89,Completed,
688,26,DOC-0021,,Remedial,Classroom,2023-08-04,2023-08-28,2023-08-16,86.0,True,1,2,Completed,
689,26,DOC-0085,,Refresher,Classroom,2024-05-16,2024-05-28,2024-05-25,98.2,True,1,108,Completed,
690,26,DOC-0036,,Refresher,Classroom,2022-11-23,2022-12-13,2022-12-09,82.4,True,1,27,Completed,
691,26,DOC-0008,,Remedial,Classroom,2022-06-24,2022-07-05,2022-06-26,76.8,False,2,4,Completed,
692,26,DOC-0089,,Change-Driven,eLearning,2022-08-29,2022-09-12,2022-09-15,85.0,True,1,70,Completed,
693,26,DOC-0029,,Change-Driven,Classroom,2023-05-23,2023-06-10,2023-06-12,71.6,False,2,10,Completed,
694,26,DOC-0005,,Initial,Read-and-Understand,2022-02-04,2022-02-14,2022-02-08,76.2,False,2,42,Completed,
695,26,DOC-0052,,Initial,Read-and-Understand,2024-07-27,2024-08-03,2024-08-07,83.5,True,1,10,Completed,
696,26,DOC-0041,,Refresher,OJT,2024-02-20,2024-03-09,2024-03-13,88.6,True,1,86,Completed,
697,26,DOC-0038,,Refresher,eLearning,2023-12-25,2024-01-16,2024-01-05,88.3,True,1,115,Completed,
698,26,DOC-0044,,Change-Driven,eLearning,2023-10-26,2023-11-22,2023-11-20,74.0,False,2,15,Completed,
699,26,DOC-0039,,Refresher,Classroom,2024-11-18,2024-12-06,2024-11-28,96.9,True,1,21,Completed,
700,27,DOC-0017,,Change-Driven,Read-and-Understand,2024-01-22,2024-02-02,2024-01-24,98.3,True,1,83,Completed,
701,27,DOC-0065,,Initial,Classroom,2022-12-02,2022-12-11,2022-12-08,72.9,False,2,24,Completed,
702,27,DOC-0012,,Initial,Read-and-Understand,2023-09-06,2023-09-24,2023-09-29,78.9,False,2,6,Completed,
703,27,DOC-0086,,Initial,eLearning,2022-10-05,2022-10-27,2022-10-30,88.7,True,1,66,Completed,
704,27,DOC-0094,,Refresher,Read-and-Understand,2022-10-17,2022-11-02,2022-10-24,94.7,True,1,23,Completed,
705,27,DOC-0093,,Initial,Read-and-Understand,2022-07-07,2022-07-19,2022-07-17,96.3,True,1,23,Completed,
706,27,DOC-0075,,Change-Driven,Classroom,2023-02-15,2023-03-07,2023-03-08,95.1,True,1,12,Completed,
707,27,DOC-0023,,Refresher,eLearning,2022-07-01,2022-07-25,2022-07-13,91.6,True,1,74,Completed,
708,27,DOC-0041,,Initial,eLearning,2022-05-06,2022-06-04,2022-06-06,88.2,True,1,117,Completed,
709,27,DOC-0084,,Refresher,Classroom,2023-04-30,2023-05-11,2023-05-14,70.2,False,2,101,Completed,
710,27,DOC-0015,,Refresher,eLearning,2023-02-22,2023-03-10,2023-03-02,77.9,False,2,9,Completed,
711,27,DOC-0026,,Initial,Classroom,2023-03-15,2023-04-10,2023-04-04,83.0,True,1,70,Completed,
712,27,DOC-0054,,Initial,eLearning,2022-06-28,2022-07-10,2022-07-08,94.6,True,1,4,Completed,
713,27,DOC-0099,,Refresher,OJT,2022-12-05,2022-12-31,2022-12-28,91.2,True,1,6,Completed,
714,27,DOC-0012,,Refresher,OJT,2023-08-17,2023-09-11,2023-09-04,71.0,False,2,7,Completed,
715,27,DOC-0072,,Refresher,eLearning,2024-12-17,2025-01-15,2025-01-11,90.3,True,1,25,Completed,
716,27,DOC-0015,,Initial,eLearning,2022-08-09,2022-09-06,2022-08-12,85.4,True,1,42,Completed,
717,27,DOC-0051,,Refresher,Read-and-Understand,2023-02-28,2023-03-10,2023-03-03,77.0,False,2,52,Completed,
718,27,DOC-0063,,Change-Driven,Read-and-Understand,2022-04-21,2022-05-07,,,,1,9,Overdue,
719,27,DOC-0062,,Remedial,eLearning,2022-06-24,2022-07-01,2022-06-28,90.7,True,1,15,Completed,
720,27,DOC-0065,,Change-Driven,Read-and-Understand,2024-09-08,2024-09-24,2024-09-09,73.4,False,2,3,Completed,
721,27,DOC-0098,,Refresher,OJT,2023-05-25,2023-06-09,2023-06-03,87.8,True,1,10,Completed,
722,27,DOC-0033,,Change-Driven,Classroom,2024-11-29,2024-12-21,2024-12-11,71.7,False,2,97,Completed,
723,27,DOC-0091,,Initial,Read-and-Understand,2022-11-11,2022-11-29,2022-12-02,83.8,True,1,97,Completed,
724,27,DOC-0096,,Refresher,Classroom,2023-03-04,2023-03-14,2023-03-18,75.9,False,2,94,Completed,
725,28,DOC-0012,,Remedial,OJT,2022-04-23,2022-05-10,2022-05-08,99.3,True,1,98,Completed,
726,28,DOC-0074,,Initial,eLearning,2024-02-16,2024-02-29,2024-02-29,96.1,True,1,78,Completed,
727,28,DOC-0036,,Refresher,eLearning,2024-04-04,2024-04-30,2024-05-05,81.9,True,1,92,Completed,
728,28,DOC-0018,,Initial,Read-and-Understand,2023-05-23,2023-06-05,2023-05-25,70.9,False,2,67,Completed,
729,28,DOC-0002,,Refresher,Classroom,2022-02-24,2022-03-21,2022-03-26,72.0,False,2,26,Completed,
730,28,DOC-0032,,Refresher,Read-and-Understand,2023-01-09,2023-01-22,2023-01-10,94.0,True,1,100,Completed,
731,28,DOC-0063,,Refresher,Classroom,2023-08-24,2023-09-09,2023-09-11,90.8,True,1,84,Completed,
732,28,DOC-0022,,Refresher,eLearning,2023-05-14,2023-06-04,2023-06-07,70.2,False,2,68,Completed,
733,28,DOC-0042,,Refresher,OJT,2022-10-17,2022-11-14,2022-11-08,92.3,True,1,15,Completed,
734,28,DOC-0028,,Initial,eLearning,2022-08-23,2022-09-17,2022-09-18,70.7,False,2,111,Completed,
735,28,DOC-0022,,Refresher,Classroom,2023-04-27,2023-05-17,2023-05-15,97.3,True,1,51,Completed,
736,28,DOC-0073,,Refresher,Classroom,2023-01-30,2023-02-10,2023-01-31,71.0,False,2,57,Completed,
737,28,DOC-0047,,Change-Driven,OJT,2024-11-28,2024-12-14,2024-12-07,85.5,True,1,35,Completed,
738,28,DOC-0013,,Refresher,eLearning,2024-03-15,2024-03-29,2024-03-18,73.9,False,2,43,Completed,
739,28,DOC-0045,,Initial,Classroom,2022-12-12,2023-01-06,2022-12-25,71.1,False,2,1,Completed,
740,28,DOC-0066,,Initial,Classroom,2022-07-31,2022-08-10,2022-08-05,77.6,False,2,70,Completed,
741,28,DOC-0015,,Initial,Classroom,2023-10-01,2023-10-30,2023-10-26,96.7,True,1,16,Completed,
742,29,DOC-0040,,Refresher,eLearning,2024-03-02,2024-03-09,2024-03-09,72.3,False,2,96,Completed,
743,29,DOC-0096,,Remedial,OJT,2022-02-15,2022-03-04,2022-03-08,78.1,False,2,23,Completed,
744,29,DOC-0095,,Initial,Read-and-Understand,2024-03-26,2024-04-18,2024-04-08,85.2,True,1,100,Completed,
745,29,DOC-0030,,Initial,Read-and-Understand,2024-10-20,2024-11-10,2024-10-29,94.2,True,1,87,Completed,
746,29,DOC-0035,,Change-Driven,eLearning,2023-10-07,2023-10-22,,,,1,53,Overdue,
747,29,DOC-0055,,Initial,OJT,2022-02-28,2022-03-07,2022-03-01,95.5,True,1,83,Completed,
748,29,DOC-0018,,Refresher,Classroom,2022-11-08,2022-11-30,2022-11-16,99.1,True,1,117,Completed,
749,29,DOC-0035,,Change-Driven,eLearning,2022-09-15,2022-10-14,2022-10-14,92.3,True,1,68,Completed,
750,29,DOC-0030,,Refresher,Read-and-Understand,2024-12-31,2025-01-18,2025-01-02,98.3,True,1,58,Completed,
751,29,DOC-0003,,Refresher,OJT,2023-02-01,2023-02-16,2023-02-21,87.2,True,1,47,Completed,
752,29,DOC-0005,,Initial,Read-and-Understand,2022-08-21,2022-08-30,2022-09-03,90.8,True,1,100,Completed,
753,29,DOC-0003,,Initial,Read-and-Understand,2023-05-08,2023-05-23,2023-05-17,86.9,True,1,61,Completed,
754,29,DOC-0060,,Remedial,eLearning,2022-03-11,2022-03-18,2022-03-14,94.3,True,1,85,Completed,
755,29,DOC-0074,,Refresher,eLearning,2023-11-18,2023-12-17,2023-11-30,87.8,True,1,96,Completed,
756,29,DOC-0050,,Remedial,Read-and-Understand,2024-05-26,2024-06-20,2024-05-31,95.1,True,1,61,Completed,
757,29,DOC-0090,,Initial,eLearning,2023-12-26,2024-01-15,2024-01-06,75.1,False,2,54,Completed,
758,29,DOC-0096,,Initial,eLearning,2022-05-17,2022-06-13,,,,1,75,Overdue,
759,29,DOC-0085,,Refresher,Read-and-Understand,2023-08-06,2023-09-04,2023-08-18,77.0,False,2,92,Completed,
760,30,DOC-0071,,Change-Driven,Read-and-Understand,2023-04-12,2023-04-24,2023-04-29,88.2,True,1,88,Completed,
761,30,DOC-0006,,Remedial,eLearning,2022-04-19,2022-04-28,2022-04-27,86.7,True,1,92,Completed,
762,30,DOC-0080,,Initial,Read-and-Understand,2023-08-05,2023-09-01,2023-09-03,82.2,True,1,6,Completed,
763,30,DOC-0035,,Initial,Classroom,2023-09-10,2023-10-04,2023-10-03,97.6,True,1,115,Completed,
764,30,DOC-0082,,Change-Driven,Read-and-Understand,2023-05-18,2023-06-04,2023-05-23,93.6,True,1,26,Completed,
765,30,DOC-0082,,Change-Driven,Read-and-Understand,2023-03-13,2023-04-04,2023-03-31,94.3,True,1,85,Completed,
766,30,DOC-0063,,Refresher,eLearning,2022-09-13,2022-10-11,2022-09-22,82.4,True,1,59,Completed,
767,30,DOC-0092,,Initial,Read-and-Understand,2024-08-25,2024-09-04,2024-08-31,85.5,True,1,9,Completed,
768,30,DOC-0068,,Initial,OJT,2024-08-17,2024-08-25,2024-08-26,93.7,True,1,120,Completed,
769,30,DOC-0001,,Initial,eLearning,2024-09-25,2024-10-25,2024-10-03,99.7,True,1,52,Completed,
770,30,DOC-0033,,Remedial,Read-and-Understand,2023-06-06,2023-06-25,2023-06-09,99.0,True,1,31,Completed,
